0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:14 -0300] "GET /FolhaVerde/CSS/NavBar.css HTTP/1.1" 200 1148
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:14 -0300] "GET /FolhaVerde/CSS/RobotoFonts.css HTTP/1.1" 200 2450
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:14 -0300] "GET /FolhaVerde/CSS/IndieFlower.css HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:14 -0300] "GET /FolhaVerde/imgs/LOGO.png HTTP/1.1" 200 150286
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:14 -0300] "GET /FolhaVerde/jquery-ui/jquery-3.3.1.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:15 -0300] "GET /FolhaVerde/Payment.jsp HTTP/1.1" 200 3410
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:15 -0300] "GET /FolhaVerde/CSS/Payment.css HTTP/1.1" 200 572
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:15 -0300] "GET /FolhaVerde/CSS/Pages.css HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:15 -0300] "GET /FolhaVerde/imgs/LOGO.png HTTP/1.1" 200 150286
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:15 -0300] "GET /FolhaVerde/CSS/RobotoFonts.css HTTP/1.1" 200 2450
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:15 -0300] "GET /FolhaVerde/CSS/IndieFlower.css HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:15 -0300] "GET /FolhaVerde/CSS/NavBar.css HTTP/1.1" 200 1148
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:15 -0300] "GET /FolhaVerde/jquery-ui/jquery-3.3.1.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:16 -0300] "GET /FolhaVerde/Payment.jsp HTTP/1.1" 200 3410
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:16 -0300] "GET /FolhaVerde/CSS/Pages.css HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:16 -0300] "GET /FolhaVerde/CSS/NavBar.css HTTP/1.1" 200 1148
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:16 -0300] "GET /FolhaVerde/CSS/RobotoFonts.css HTTP/1.1" 200 2450
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:16 -0300] "GET /FolhaVerde/jquery-ui/jquery-3.3.1.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:16 -0300] "GET /FolhaVerde/CSS/IndieFlower.css HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:16 -0300] "GET /FolhaVerde/CSS/Payment.css HTTP/1.1" 200 572
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:16 -0300] "GET /FolhaVerde/imgs/LOGO.png HTTP/1.1" 200 150286
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:17 -0300] "GET /FolhaVerde/Payment.jsp HTTP/1.1" 200 3410
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:17 -0300] "GET /FolhaVerde/CSS/Pages.css HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:17 -0300] "GET /FolhaVerde/CSS/NavBar.css HTTP/1.1" 200 1148
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:17 -0300] "GET /FolhaVerde/CSS/IndieFlower.css HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:17 -0300] "GET /FolhaVerde/CSS/RobotoFonts.css HTTP/1.1" 200 2450
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:17 -0300] "GET /FolhaVerde/jquery-ui/jquery-3.3.1.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:17 -0300] "GET /FolhaVerde/CSS/Payment.css HTTP/1.1" 200 572
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:17 -0300] "GET /FolhaVerde/imgs/LOGO.png HTTP/1.1" 200 150286
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:20 -0300] "GET /FolhaVerde/Payment.jsp HTTP/1.1" 200 3410
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:20 -0300] "GET /FolhaVerde/CSS/Payment.css HTTP/1.1" 200 572
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:20 -0300] "GET /FolhaVerde/CSS/Pages.css HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:20 -0300] "GET /FolhaVerde/CSS/NavBar.css HTTP/1.1" 200 1148
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:20 -0300] "GET /FolhaVerde/CSS/IndieFlower.css HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:20 -0300] "GET /FolhaVerde/CSS/RobotoFonts.css HTTP/1.1" 200 2450
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:20 -0300] "GET /FolhaVerde/jquery-ui/jquery-3.3.1.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:20 -0300] "GET /FolhaVerde/imgs/LOGO.png HTTP/1.1" 200 150286
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:21 -0300] "GET /FolhaVerde/Payment.jsp HTTP/1.1" 200 3410
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:21 -0300] "GET /FolhaVerde/CSS/Payment.css HTTP/1.1" 200 572
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:21 -0300] "GET /FolhaVerde/CSS/IndieFlower.css HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:21 -0300] "GET /FolhaVerde/CSS/NavBar.css HTTP/1.1" 200 1148
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:21 -0300] "GET /FolhaVerde/CSS/RobotoFonts.css HTTP/1.1" 200 2450
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:21 -0300] "GET /FolhaVerde/jquery-ui/jquery-3.3.1.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:21 -0300] "GET /FolhaVerde/CSS/Pages.css HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:21 -0300] "GET /FolhaVerde/imgs/LOGO.png HTTP/1.1" 200 150286
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:31 -0300] "GET /FolhaVerde/Payment.jsp HTTP/1.1" 200 3410
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:31 -0300] "GET /FolhaVerde/CSS/Payment.css HTTP/1.1" 200 572
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:31 -0300] "GET /FolhaVerde/CSS/NavBar.css HTTP/1.1" 200 1148
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:31 -0300] "GET /FolhaVerde/CSS/RobotoFonts.css HTTP/1.1" 200 2450
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:31 -0300] "GET /FolhaVerde/CSS/IndieFlower.css HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:31 -0300] "GET /FolhaVerde/jquery-ui/jquery-3.3.1.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:31 -0300] "GET /FolhaVerde/CSS/Pages.css HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:31 -0300] "GET /FolhaVerde/imgs/LOGO.png HTTP/1.1" 200 150286
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:32 -0300] "GET /FolhaVerde/Payment.jsp HTTP/1.1" 200 3410
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:32 -0300] "GET /FolhaVerde/CSS/Payment.css HTTP/1.1" 200 572
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:32 -0300] "GET /FolhaVerde/CSS/Pages.css HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:32 -0300] "GET /FolhaVerde/CSS/NavBar.css HTTP/1.1" 200 1148
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:32 -0300] "GET /FolhaVerde/CSS/RobotoFonts.css HTTP/1.1" 200 2450
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:32 -0300] "GET /FolhaVerde/CSS/IndieFlower.css HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:32 -0300] "GET /FolhaVerde/jquery-ui/jquery-3.3.1.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:32 -0300] "GET /FolhaVerde/imgs/LOGO.png HTTP/1.1" 200 150286
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:45 -0300] "GET /FolhaVerde/Payment.jsp HTTP/1.1" 200 3410
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:45 -0300] "GET /FolhaVerde/CSS/Pages.css HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:45 -0300] "GET /FolhaVerde/CSS/NavBar.css HTTP/1.1" 200 1148
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:45 -0300] "GET /FolhaVerde/CSS/Payment.css HTTP/1.1" 200 572
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:45 -0300] "GET /FolhaVerde/CSS/IndieFlower.css HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:45 -0300] "GET /FolhaVerde/CSS/RobotoFonts.css HTTP/1.1" 200 2450
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:45 -0300] "GET /FolhaVerde/imgs/LOGO.png HTTP/1.1" 200 150286
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:45 -0300] "GET /FolhaVerde/jquery-ui/jquery-3.3.1.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:48 -0300] "GET /FolhaVerde/Payment.jsp HTTP/1.1" 200 3410
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:48 -0300] "GET /FolhaVerde/CSS/Payment.css HTTP/1.1" 200 572
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:48 -0300] "GET /FolhaVerde/CSS/Pages.css HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:48 -0300] "GET /FolhaVerde/CSS/RobotoFonts.css HTTP/1.1" 200 2450
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:48 -0300] "GET /FolhaVerde/imgs/LOGO.png HTTP/1.1" 200 150286
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:48 -0300] "GET /FolhaVerde/CSS/IndieFlower.css HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:48 -0300] "GET /FolhaVerde/CSS/NavBar.css HTTP/1.1" 200 1148
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:07:48 -0300] "GET /FolhaVerde/jquery-ui/jquery-3.3.1.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:10:32 -0300] "GET /FolhaVerde/Payment.jsp HTTP/1.1" 200 8811
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:10:32 -0300] "GET /FolhaVerde/CSS/NavBar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:10:32 -0300] "GET /FolhaVerde/CSS/Pages.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:10:32 -0300] "GET /FolhaVerde/CSS/IndieFlower.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:10:32 -0300] "GET /FolhaVerde/CSS/RobotoFonts.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:10:32 -0300] "GET /FolhaVerde/jquery-ui/jquery-3.3.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:10:32 -0300] "GET /FolhaVerde/CSS/Payment.css HTTP/1.1" 200 572
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:10:32 -0300] "GET /FolhaVerde/imgs/LOGO.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:18:54 -0300] "GET /FolhaVerde/Payment.jsp HTTP/1.1" 200 10152
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:18:54 -0300] "GET /FolhaVerde/CSS/Pages.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:18:54 -0300] "GET /FolhaVerde/CSS/NavBar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:18:54 -0300] "GET /FolhaVerde/CSS/Payment.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:18:54 -0300] "GET /FolhaVerde/CSS/RobotoFonts.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:18:54 -0300] "GET /FolhaVerde/CSS/IndieFlower.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:18:54 -0300] "GET /FolhaVerde/jquery-ui/jquery-3.3.1.min.js HTTP/1.1" 304 -
